Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Category of Fire,Cause of Fire,Fire-related injuries,Fire-related deaths,Property damage
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Huasna,Building 171-H,Unintentional,Cooking,0,0,$0-$99
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,tšilkukunitš,Building 172-D,Unintentional,Open flames,0,0,$0-$99
2018,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7972,Trinity Hall,1681 Rossow St,Unintentional,Cooking,0,0,$0-$99
2018,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7972,Delnorte Hall,351 Harpst St,Unintentional,Machinery/Industrial,0,0,$0-$99
2018,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26598,UHS Bldg. 54-Vista De Las Estrellas,"54 Kellogg Dr. Pomona, CA 91768",Unintentional,Cooking,0,0,"$100,000-$249,999"
2018,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26598,Univ. Village-Bldg. 160,"3400 Poly Vista Pomona, CA 91768",Unintentional,Cooking,0,0,$100-$999
2018,110486,California State University-Bakersfield,799300,1,Main Campus,10816,Student Housing East,"8501 Stockdale Hwy. Bakersfield, Ca 93311",Intentional,"A student set fire to another students' (boyfriend) closet in an OCSHF. This was an intentional fire, therefore meets the definition of an Arson.",0,0,"$50,000-$99,999"
2018,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16732,University Housing - Phase 1 & 2,"1100 E. Victoria Street, Carso",Unintentional,Cooking,0,0,$0-$99
2018,110556,California State University-Fresno,114700,1,Main Campus,25137,Baker Hall,5158 N Barton Ave,Unintentional,Electrical,1,0,$0-$99
2018,110565,California State University-Fullerton,113700,1,Main Campus,40280,Acacia,800 N. State College,Intentional,There was an open flame because someone lit a candle in a dorm room.,0,0,$0-$99
2018,110565,California State University-Fullerton,113700,1,Main Campus,40280,Valencia,800 N. State College,Intentional,A student started a fire in a trashcan in the restroom to burn clothing.,0,0,$0-$99
2018,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7540,Frederick Park 1,East Campus Housing,Unintentional,Electrical,0,0,"$1,000-$9,999"
2018,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7540,Promontory,"400 8th Street, Marina CA, 939",Unintentional,Cooking,0,0,$0-$99
2018,110608,California State University-Northridge,115300,1,California State University- Northridge,40212,UPA-15 Bougainvillea Hall,17950 Lassen Street,Unintentional,Cooking,0,0,$0-$99
2018,366711,California State University-San Marcos,3011300,1,Main Campus,15972,University Village Apt,305 Campus View Dr,Unintentional,Cooking,0,0,$0-$99
2018,366711,California State University-San Marcos,3011300,1,Main Campus,15972,The Quad,200 Barham Dr.,Unintentional,Cooking,0,0,$0-$99
2018,122409,San Diego State University,115100,1,Main Campus,35303,Cuicacalli,5150 East Campus Drive  San Di,Unintentional,Open flames,0,0,$0-$99
2018,122409,San Diego State University,115100,1,Main Campus,35303,Villa Alvarado,"6161 Alvarado Road  San Diego,",Unintentional,Cooking,0,0,$0-$99
2018,122597,San Francisco State University,115400,1,Main Campus,29778,Village at Centennial Square,"750 Font Blvd, San Francisco",Unintentional,Cooking,0,0,"$250,000-$499,999"
2018,122597,San Francisco State University,115400,1,Main Campus,29778,Village at Centennial Square,"750 Font Blvd, San Francisco",Unintentional,Cooking,0,0,"$250,000-$499,999"
2018,123572,Sonoma State University,115600,1,Sonoma State University,9459,Fume Blanc,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Smoking materials,0,0,"$1,000-$9,999"
2018,123572,Sonoma State University,115600,1,Sonoma State University,9459,Burgundy,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Cooking,0,0,$100-$999
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,Yosemite Hall 2,Building 114-C,Unintentional,Electrical,0,0,$0-$99
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,Cerro Hollister,Building 170-C,Unintentional,Cooking,0,0,$0-$99
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,Cerro Bishop,Building 170-E,Unintentional,Cooking,0,0,"$1,000-$9,999"
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,Aliso,Building 171-A,Unintentional,Cooking,0,0,$0-$99
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,Corralitos,Building 171-C,Unintentional,Heating equipment,0,0,$0-$99
2019,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,21426,Inyo,Building 171-I,Unintentional,Cooking,0,0,$0-$99
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,Alder Hall,280 Canyon Fire Ln,Unintentional,Cooking,0,0,$0-$99
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,Cypress Hall,271 Granite Ave,Unintentional,Heating equipment,0,0,$0-$99
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,Cypress Hall,271 Granite Ave,Unintentional,Hazardous product,0,0,$0-$99
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,Trinity Hall,1681 Rossow St,Unintentional,Cooking,0,0,$0-$99
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,Trinity Hall,1681 Rossow St,Unintentional,Cooking,0,0,$0-$99
2019,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,7180,Delnorte Hall,351 Harpst St,Unintentional,Heating equipment,0,0,$0-$99
2019,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,28058,Univ. Village-Bldg. 10,"3400 Poly Vista Pomona, CA 91768",Unintentional,Electrical,0,0,$100-$999
2019,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17977,University Housing - Phase 1 & 2,"1100 E. Victoria Street, Carso",Unintentional,Cooking,0,0,$0-$99
2019,110556,California State University-Fresno,114700,1,Main Campus,24298,Baker Hall,5158 N Barton Ave,Unintentional,Electrical,0,0,"$1,000-$9,999"
2019,110556,California State University-Fresno,114700,1,Main Campus,24298,Graves Hall,5156 N Barton Ave,Unintentional,Cooking,0,0,$100-$999
2019,110556,California State University-Fresno,114700,1,Main Campus,24298,Homan Hall,5154 N Barton Ave,Unintentional,Smoking materials,0,0,$100-$999
2019,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7650,Promontory,"400 8th Street, Marina CA, 939",Unintentional,Cooking,0,0,$0-$99
