Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,Univ. Village-Bldg. 95,"3400 Poly Vista Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,Univ. Village-Bldg. 105,"3400 Poly Vista Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,Univ. Village-Bldg. 115,"3400 Poly Vista Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,Univ. Village-Bldg. 125,"3400 Poly Vista Pomona, CA 91768",0
2015,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,23717,Univ. Village-Bldg. 135,"3400 Poly Vista Pomona, CA 91768",0
2015,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1075,Upper Residence Hall,"200 Maritime Academy Dr, Vallejo Ca. 95590",0
2015,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1075,Lower Residence Hall,"200 Maritime Academy Drive, Vallejo Ca 94590",0
2015,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1075,McAllister Hall,"200 Maritime Academy Dr, Vallejo Ca. 94590",0
2015,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,1075,Training Ship Golden Bear,"200 Maritime Academy Dr, Vallejo Ca. 94590",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,Student Housing West,"9051 Stockdale Hwy. Bakersfield, Ca. 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,SHW 2,"9051 Stockdale Hwy. Bakersfield, Ca. 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,SHW 3,"9001 Stockdale Hwy. Bakersfield, Ca. 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,SHW 4,"9001 Stockdale Hwy. Bakersfield, Ca. 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,SHW 5,"9001 Stockdale Hwy. Bakersfield, Ca. 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,SHW 6,"9001 Stockdale Hwy. Bakersfield, Ca. 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,Student Housing East,"8501 Stockdale Hwy. Bakersfield, Ca 93311",0
2015,110486,California State University-Bakersfield,799300,1,Main Campus,9228,SHE 2,"8501 Stockdale Hwy. Bakersfield, Ca 93311",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Anacapa Village A,"73 Ventura St., Camarillo, CA",3
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Anacapa Village B,"73 Ventura St., Camarillo, CA",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Anacapa Village C,"73 Ventura St., Camarillo, CA",2
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Santa Cruz Village D,"74 Ventura St., Camarillo, CA",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Santa Cruz Village E,"74 Ventura St., Camarillo, CA",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Santa Cruz Village F,"74 Ventura St., Camarillo, CA",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Santa Cruz Village G,"74 Ventura St., Camarillo, CA",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Santa Cruz Village H,"74 Ventura St., Camarillo, CA",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Town Center A,"45 Rincon Dr., Camarillo, CA 9",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Town Center B,"45 Rincon Dr., Camarillo, CA 9",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Town Center C,"45 Rincon Dr., Camarillo, CA 9",0
2015,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6167,Town Center D,"45 Rincon Dr., Camarillo, CA 9",0
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Esken Hall,681 W. Sacramento Ave,0
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Konkow Hall,701 W. Sacramento Ave,2
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Lassen Hall,501 Citrus Ave,0
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Mechoopda Hall,691 W. Sacramento Ave,1
